Protein_Group	Genes	AURKA_dox-_vs_IgG_dox-_logFC	AURKA_dox-_vs_IgG_dox-_pval	Removed?	Contaminant?
Q86U06	RBM23	1.85132288230187	4.31546456670486e-06	No	No
Q86UE4	MTDH	1.95010173400336	9.26167296238534e-09	No	No
Q86US8	SMG6	2.67657967944844	0.0010739009621422	No	No
Q86UW6	N4BP2	3.97855991793285	5.22473760895619e-07	No	No
Q86UX7	FERMT3	3.60631449772842	3.96144310037905e-08	No	No
Q86UY8	NT5DC3	1.90430821944286	0.0009276758467314	No	No
Q86VZ6	JAZF1	7.49277305778073	3.21396602413301e-05	No	No
Q86X52	CHSY1	2.57794898554262	0.0004829878975496	No	No
Q86X76	NIT1	6.73896296428726	2.9518145001724104e-15	No	No
Q86XK2	FBXO11	2.90942686950565	2.15335548714985e-10	No	No
Q86YH2	ZNF280B	5.4914272428872	0.0001183328641156	No	No
Q86Z20	CCDC125	6.19216003944213	2.7325774026522204e-19	No	No
Q8IV48	ERI1	4.35618490715944	5.6603743072040497e-11	No	No
Q8IVL0	NAV3	2.94507681264523	1.39304863210227e-05	No	No
Q8IWA0	WDR75	1.98777146151555	9.37370779846558e-06	No	No
Q8IWB9	TEX2	3.27170783607705	2.64420937139194e-05	No	No
Q8IWS0	PHF6	1.9157907940248	0.0001560444960534	No	No
Q8IWX8	CHERP	3.80833071509324	1.8908671349856099e-13	No	No
Q8IWY9	CDAN1	6.81697632998162	2.89362648787174e-16	No	No
Q8IWZ3	ANKHD1	2.1820966431125	0.0040009394554834	No	No
Q8IWZ8	SUGP1	3.20909094916785	2.0416426324021e-07	No	No
Q8IX12	CCAR1	6.91248338322186	2.1080431882841e-22	No	No
Q8IXK0	PHC2	3.60223887563269	1.66340149653853e-14	No	No
Q8IXM3	MRPL41	3.78063921555312	3.5875764355135896e-11	No	No
Q8IXQ6	PARP9	3.69383835558035	3.82468195842972e-10	No	No
Q8IXZ2	ZC3H3	4.60396848537576	6.05571749646682e-05	No	No
Q8IY21	DDX60	3.20897228700601	0.0016992809806695	No	No
Q8IY37	DHX37	2.82827402470214	2.80061850653594e-06	No	No
Q8IY57	YAF2	5.28517798695947	1.27949301489638e-13	No	No
Q8IYA6	CKAP2L	1.83503083806716	1.09511969527824e-05	No	No
Q8IYH5	ZZZ3	3.71254909470417	3.14498502946048e-08	No	No
Q8IZQ1	WDFY3	2.94667344867033	0.0037387321899862	No	No
Q8IZT6	ASPM	4.0995700951311	2.2743824961762298e-11	No	No
Q8N1G2	CMTR1	2.25071611062489	7.54505751806429e-05	No	No
Q8N2G6	ZCCHC24	1.65353491893594	6.49473890384862e-05	No	No
Q8N4N3	KLHL36	2.72081070877699	0.0002802533703924	No	No
Q8N567	ZCCHC9	3.80973901569385	1.72922064382452e-07	No	No
Q8N5A5	ZGPAT	2.41290713434208	1.99598071797791e-05	No	No
Q8N5C6	SRBD1	3.3271553272493	2.87989436599463e-06	No	No
Q8N5I2	ARRDC1	2.86703018098287	0.0001557054059833	No	No
Q8N5N7	MRPL50	2.78924109519876	1.01478483196553e-11	No	No
Q8N5P1	ZC3H8	6.18854167133273	3.5382142787370104e-21	No	No
Q8N5U6	RNF10	2.30634269839799	1.85039808386372e-05	No	No
Q8N6Y2	LRRC17	3.31922673458232	4.39453034358005e-05	No	No
Q8N8D1	PDCD7	3.30216651708193	0.0004019376384901	No	No
Q8N954	GPATCH11	5.24096572915431	1.5683756916743902e-14	No	No
Q8N983	MRPL43	4.30567424438152	3.76342256693149e-18	No	No
Q8N9M1	C19orf47	2.73173832953116	9.94722379155627e-06	No	No
Q8N9N2	ASCC1	1.82902485057485	3.86198438217716e-06	No	No
Q8N9N5	BANP	5.54275595955933	9.322123026946729e-18	No	No
Q8N9T8	KRI1	2.8089851720875	8.28701006161896e-09	No	No
Q8NC60	NOA1	4.23854316385896	6.09747910107848e-07	No	No
Q8NCA5	FAM98A	1.91898732542685	6.52578456467936e-08	No	No
Q8NCX0	CCDC150	2.43418583579385	0.001449082962791	No	No
Q8ND82	ZNF280C	2.15542760735868	0.0021200495376447	No	No
Q8NDD1	FSAF1	2.47733499011412	0.000101483128921	No	No
Q8NDT2	RBM15B	3.77686742626812	6.36710707251163e-05	No	No
Q8NDX5	PHC3	3.37560493055455	1.93456967283549e-08	No	No
Q8NEF9	SRFBP1	3.24968813515581	2.3968267387456e-06	No	No
Q8NEJ9	NGDN	1.95434478103643	0.0008830090678407	No	No
Q8NEX9	SDR9C7	2.03734718846549	0.0040811010909664	No	No
Q8NEZ2	VPS37A	2.04787785691953	0.0052562414676555	No	No
Q8NEZ4	KMT2C	6.03726455818297	4.47189696768276e-10	No	No
Q8NHQ9	DDX55	2.17642893822612	3.39701500238702e-05	No	No
Q8NI36	WDR36	1.67693541395548	0.0001265927361893	No	No
Q8TAE8	GADD45GIP1	2.8841730208346	7.680655438805509e-11	No	No
Q8TAP9	MPLKIP	2.29895098468804	0.0001522522800005	No	No
Q8TBF4	ZCRB1	3.42263741370379	4.81187598671621e-09	No	No
Q8TCC3	MRPL30	2.6219743078968	1.06735757537091e-10	No	No
Q8TCX1	DYNC2LI1	2.1090491286591	2.8662310861049e-05	No	No
Q8TDB6	DTX3L	2.47612120199636	2.23403590032761e-10	No	No
Q8TDD1	DDX54	1.87889467564356	8.14630554744424e-06	No	No
Q8TDN6	BRIX1	2.54862788064198	0.0058157467250329	No	No
Q8TE02	ELP5	3.57004602644305	2.78146847213231e-10	No	No
Q8TEP8	CEP192	1.91549531312836	5.92797247132961e-06	No	No
Q8WU90	ZC3H15	1.64665870112609	0.0081317725531885	No	No
Q8WUA4	GTF3C2	2.46625794693216	0.0001760905758185	No	No
Q8WUB8	PHF10	3.34364914595714	2.51394944318226e-09	No	No
Q8WUK0	PTPMT1	1.64989770618039	0.0035214841156627	No	No
Q8WV24	PHLDA1	2.09466261202158	1.8852065217166e-05	No	No
Q8WVI0	UQCC5	3.72424262181276	2.59225130758159e-13	No	No
Q8WVM0	TFB1M	3.96341243944047	1.61116783446691e-08	No	No
Q8WVS4	DYNC2I1	2.18652014632665	0.0010835804371097	No	No
Q8WVV4	POF1B	2.40908057927185	0.0013492028429545	No	No
Q8WW12	PCNP	2.50470602722597	0.0009098594846427	No	No
Q8WWK9	CKAP2	1.9531076407713	0.0001042297740005	No	No
Q8WWM7	ATXN2L	2.41863645278751	2.90582932614951e-07	No	No
Q8WXE0	CASKIN2	1.65015599146378	0.001808160900255	No	No
Q8WXF1	PSPC1	1.7901595250642	7.63366303918744e-05	No	No
Q8WXX5	DNAJC9	2.39539743736959	1.00621260220309e-05	No	No
Q8WY36	BBX	3.07565720675482	3.0149668001643e-06	No	No
Q8WYA1	BMAL2	2.38409287044269	3.49998468033463e-07	No	No
Q8WYQ5	DGCR8	3.36614299093385	9.13514764098356e-05	No	No
Q92522	H1-10	2.14688664835604	0.0001815680820807	No	No
Q92547	TOPBP1	2.86045339549907	6.44391424284199e-05	No	No
Q92576	PHF3	2.07246673528597	0.0044656311765913	No	No
Q92615	LARP4B	1.8648523716792	9.01255965594307e-11	No	No
Q92665	MRPS31	2.51688758662989	2.76543188333832e-07	No	No
Q92759	GTF2H4	1.63797684292022	0.0065139487814725	No	No
Q92785	DPF2	2.82004608079937	0.009470244029308	No	No
Q92793	CREBBP	2.78886829851266	4.63135941690634e-05	No	No
Q92796	DLG3	2.80043141715912	0.0002314708319514	No	No
Q92804	TAF15	3.39425086048577	1.98444902138306e-11	No	No
Q92830	KAT2A	2.64851965186986	1.45626688067621e-06	No	No
Q92870	APBB2	3.37674353977439	7.8722522994493e-08	No	No
Q92896	GLG1	5.52321817627747	5.0246921319111004e-11	No	No
Q92900	UPF1	1.70028823324833	2.1584702325311e-07	No	No
Q92979	EMG1	3.15806466791776	2.78900773474703e-06	No	No
Q92993	KAT5	2.2186256060368	0.0001354810992647	No	No
Q93008	USP9X	2.17460931837269	8.713248328918261e-10	No	No
Q93063	EXT2	3.10643874912087	0.0030925498293161	No	No
Q969Q0	RPL36AL	2.09056289239235	3.47960057203175e-06	No	No
Q969X6	UTP4	1.73149274398934	5.09238348747235e-06	No	No
Q96A19	CCDC102A	2.32958640422859	2.78425697017111e-08	No	No
Q96A35	MRPL24	2.98332220731092	5.12744287550326e-12	No	No
Q96AA3	RFT1	3.88928561548176	0.0012759280341576	No	No
Q96AQ6	PBXIP1	1.95379178413866	0.0017986084395088	No	No
Q96BK5	PINX1	2.82159662267597	7.85228403883626e-05	No	No
Q96C92	ENTR1	2.38365822018166	2.78575488389185e-07	No	No
Q96CG3	TIFA	4.67966034787219	1.80631925339041e-08	No	No
Q96CM3	RPUSD4	3.39355370130399	9.09746849434274e-07	No	No
Q96CW5	TUBGCP3	3.64417781412598	3.30881234163239e-11	No	No
Q96DF8	ESS2	3.62877199346214	3.68150052821877e-05	No	No
Q96DP5	MTFMT	2.81869894751549	0.0011944704833777	No	No
Q96DU7	ITPKC	2.40716115070442	0.00073149275383	No	No
Q96DV4	MRPL38	3.63441113704944	8.18546998683368e-14	No	No
Q96E29	MTERF3	2.90281224477855	6.7259289600921e-07	No	No
Q96EB1	ELP4	3.08129197936738	9.8344430528858e-12	No	No
Q96ES7	SGF29	4.69652700572491	3.6334176649305903e-09	No	No
Q96EU6	RRP36	2.55385356523286	3.35919997214034e-06	No	No
Q96EV2	RBM33	4.86280120324073	1.33191016869893e-16	No	No
Q96EY4	TMA16	2.04830302920501	0.0005185271185742	No	No
Q96EY7	PTCD3	2.03818638027536	1.06001136567813e-10	No	No
Q96F63	CCDC97	3.61555403329368	3.9277997915801405e-09	No	No
Q96FJ2	DYNLL2	2.65457049344017	0.0002422376866507	No	No
Q96G21	IMP4	2.17306378978824	9.49645853695641e-06	No	No
Q96GA3	LTV1	2.16010698408423	0.000847423742907	No	No
Q96GD3	SCMH1	7.56050879820853	9.20482441748985e-17	No	No
Q96GK7	FAHD2A	3.61451186188621	1.1942324335586e-08	No	No
Q96GQ7	DDX27	1.91135613332958	0.0023157289430324	No	No
Q96I25	RBM17	5.10585033579062	6.29866974829134e-13	No	No
Q96I51	RCC1L	2.5402438569626	0.0008665620279518	No	No
Q96IY4	CPB2	4.85821805437951	3.972001275257131e-09	No	No
Q96JM2	ZNF462	3.67836761411091	0.0019438539403527	No	No
Q96JP5	ZFP91	2.27366255526561	3.23626409581776e-07	No	No
Q96K58	ZNF668	3.10608767569008	0.0019931331096391	No	No
Q96K76	USP47	2.21045051648966	0.0002125782508191	No	No
Q96KA5	CLPTM1L	2.30497630043248	0.0040700023047677	No	No
Q96KM6	ZNF512B	2.92774053857428	1.56477806564775e-05	No	No
Q96L58	B3GALT6	3.29094980829052	1.33267737819316e-06	No	No
Q96L91	EP400	4.82485429432194	3.47382158429708e-11	No	No
Q96LI5	CNOT6L	2.12632877129563	0.0020719689826233	No	No
Q96LT9	RNPC3	2.5047357471136	9.76656553327773e-06	No	No
Q96ME7	ZNF512	1.87245632140964	0.0068149400008751	No	No
Q96N96	SPATA13	4.07032738209459	3.03964914912649e-08	No	No
Q96P11	NSUN5	1.69330027205857	0.0005486848357413	No	No
Q96PM9	ZNF385A	2.55596467832825	2.10060333330848e-05	No	No
Q96PV6	LENG8	2.79657672809097	0.0001917321126889	No	No
Q96QC0	PPP1R10	4.82597372536805	1.7246506110915402e-09	No	No
Q96QD9	FYTTD1	2.01122984077874	2.31042584855667e-05	No	No
Q96QE3	ATAD5	2.52637860771924	4.60966491737189e-05	No	No
Q96QR8	PURB	1.7584740042016	1.65499667763096e-07	No	No
Q96QT6	PHF12	2.71943044297717	6.26775839518257e-08	No	No
Q96R06	SPAG5	9.23884632407417	1.7383100847345e-22	No	No
Q96RF0	SNX18	1.82106072831442	6.75414868031995e-05	No	No
Q96RK0	CIC	4.33033574396521	1.810050516831e-08	No	No
Q96RL1	UIMC1	1.85449307097794	0.0047002968995705	No	No
Q96RS0	TGS1	3.6183068873516	7.92302291612201e-06	No	No
Q96RT7	TUBGCP6	3.44035129147417	1.9600197171802602e-10	No	No
Q96RT8	TUBGCP5	5.08632422482452	8.88454709953598e-14	No	No
Q96SL8	FIZ1	2.85225976375244	0.0072890690138301	No	No
Q96ST2	IWS1	4.41160678107189	2.19118049493861e-06	No	No
Q96T21	SECISBP2	4.24483471332498	0.0014967847668537	No	No
Q99417	MYCBP	4.00283740328826	1.31713988720725e-08	No	No
Q99459	CDC5L	2.79934975893734	2.05992387432821e-13	No	No
Q99496	RNF2	3.81238224728306	3.92335951679586e-14	No	No
Q99547	MPHOSPH6	1.797811193318	2.76032653133232e-05	No	No
Q99575	POP1	2.48425273530013	3.90040138871517e-07	No	No
Q99590	SCAF11	2.2067914044957	0.0026002412359072	No	No
Q99622	C12orf57	4.76137404858057	0.0001458012350354	No	No
Q99743	NPAS2	4.85881326401848	5.906003432391651e-14	No	No
Q99755	PIP5K1A	2.0087427018852	2.16466427377086e-07	No	No
Q99848	EBNA1BP2	2.26245761051798	0.0005653859928262	No	No
Q99985	SEMA3C	3.24563241061248	1.23209446301976e-06	No	No
Q9BQ04	RBM4B	1.83618332862861	0.0004625666476037	No	No
Q9BQ39	DDX50	2.22330126634762	3.82982616449019e-06	No	No
Q9BQ48	MRPL34	2.65182845112084	1.67964904469269e-07	No	No
Q9BQ50	TREX2	2.24360635246535	0.0035011608773232	No	No
Q9BQ61	TRIR	2.72032507277965	0.000638040348694	No	No
Q9BQ67	GRWD1	1.73894521255096	4.20359065322775e-07	No	No
Q9BQ75	CMSS1	2.05800073145696	2.20109805858329e-05	No	No
Q9BQ90	KLHDC3	2.25806725638636	0.0036472248203368	No	No
Q9BQC6	MRPL57	3.8068433730211	1.32880257331271e-10	No	No
Q9BRD0	BUD13	3.13097074565687	4.34698530308549e-06	No	No
Q9BRJ2	MRPL45	3.25083686403001	8.998093252907349e-11	No	No
Q9BRJ6	CHLSN	2.36758148950775	3.43299768819185e-05	No	No
Q9BRQ6	CHCHD6	2.9305302662087	2.29855160706296e-05	No	No
Q9BRX8	PRXL2A	1.76687758505368	0.0006516909509113	No	No
Q9BSC4	NOL10	1.71279002084169	0.0055956345062898	No	No
Q9BSJ2	TUBGCP2	3.52755455680279	2.5353710162072196e-11	No	No
Q9BSJ6	PIMREG	3.72054524408885	0.001319566713581	No	No
Q9BU76	MMTAG2	2.08829683824414	3.26168002527337e-06	No	No
Q9BUR4	WRAP53	3.50982615255869	1.67915185061618e-06	No	No
Q9BUT1	BDH2	3.533731669915	1.85946344440936e-10	No	No
Q9BVI4	NOC4L	1.99700792068787	0.0001751728549851	No	No
Q9BVJ6	UTP14A	1.87712573817466	6.7746385225476e-06	No	No
Q9BW66	CINP	1.76729252315422	0.0086433748032768	No	No
Q9BWJ5	SF3B5	4.15127383590539	4.87938126016046e-11	No	No
Q9BWU0	SLC4A1AP	3.77241397701952	1.28990680356464e-05	No	No
Q9BX40	LSM14B	2.32841290465053	1.09604421322437e-05	No	No
Q9BXS6	NUSAP1	2.77313627183264	1.65618222405499e-05	No	No
Q9BXY0	MAK16	2.31470318395666	0.0001412819510577	No	No
Q9BYC8	MRPL32	6.69904673887352	4.47557644302441e-20	No	No
Q9BYC9	MRPL20	4.41107260012237	2.87774458618735e-14	No	No
Q9BYD1	MRPL13	2.99548136439087	4.921587450448e-11	No	No
Q9BYD2	MRPL9	3.24022222255936	1.3563393978635e-14	No	No
Q9BYD3	MRPL4	2.90564613207616	5.20600113086487e-13	No	No
Q9BYD6	MRPL1	3.72351983525468	2.41163421937949e-14	No	No
Q9BYG3	NIFK	2.2001203086853	0.0020766013932499	No	No
Q9BYJ1	ALOXE3	1.7108879957013	0.0094436144448201	No	No
Q9BYK8	HELZ2	3.60002932417025	2.84241390758301e-05	No	No
Q9BYN8	MRPS26	2.18520949819983	2.37577791530897e-06	No	No
Q9BYT3	STK33	3.16960813582357	7.09328811168403e-05	No	No
Q9BYW2	SETD2	2.13018515456897	0.0001831654314399	No	No
Q9BZE1	MRPL37	2.00869194581294	1.93723834980615e-10	No	No
Q9BZE4	GTPBP4	1.82599970123217	0.0006353285268974	No	No
Q9BZF1	OSBPL8	6.21440173172906	5.1296751034748e-11	No	No
Q9BZI7	UPF3B	2.22244586468029	2.58680082027574e-06	No	No
Q9C0D5	TANC1	3.61741658846099	2.7551787474011e-14	No	No
Q9C0E8	LNPK	3.92795133229335	0.0001162071851816	No	No
Q9GZL7	WDR12	1.64590841407167	0.0005719695886997	No	No
Q9GZR2	REXO4	4.20670919791864	0.0003611088568656	No	No
Q9GZR7	DDX24	2.22435819252704	0.0001001778319556	No	No
Q9GZS1	POLR1E	3.22576982569835	8.18867899141417e-05	No	No
Q9H008	LHPP	3.46749604517642	2.2964578222196897e-12	No	No
Q9H074	PAIP1	2.82272199338391	2.21774952135917e-05	No	No
Q9H0E3	SAP130	2.47135810761566	0.0006634416185266	No	No
Q9H0E9	BRD8	2.15791513137226	6.78828821423186e-06	No	No
Q9H0M0	WWP1	2.28692651460019	6.32779084758237e-05	No	No
Q9H0U6	MRPL18	3.83016497397934	6.99793063657961e-13	No	No
Q9H116	GZF1	5.25231922414524	1.85614384387899e-05	No	No
Q9H1J1	UPF3A	2.46490362229322	0.0009288245062189	No	No
Q9H2H8	PPIL3	1.8471751617239	9.19025884963225e-07	No	No
Q9H2W6	MRPL46	3.15539598134971	1.97470077300169e-09	No	No
Q9H3S7	PTPN23	1.67987249595135	2.06144504198129e-06	No	No
Q9H4A6	GOLPH3	4.88743551973217	3.4285046297059e-14	No	No
Q9H4I2	ZHX3	4.20076575905628	1.46877825051057e-21	No	No
Q9H501	ESF1	2.59047781804612	5.35306842117846e-05	No	No
Q9H582	ZNF644	1.97276587252018	0.0035682038550573	No	No
Q9H583	HEATR1	1.84949932510163	0.0005371941723742	No	No
Q9H5U6	ZCCHC4	3.76558713373326	6.858058743884949e-13	No	No
Q9H6F5	CCDC86	2.01961112768621	0.0004864359717316	No	No
Q9H6R0	DHX33	1.75774041539913	0.000393479031856	No	No
Q9H6S0	YTHDC2	3.14980561745837	7.45398456417206e-05	No	No
Q9H6Y2	WDR55	2.43143119104008	0.0001969415625376	No	No
Q9H7E2	TDRD3	2.97075947074095	3.11856550521554e-07	No	No
Q9H7E9	C8orf33	2.03895866974181	3.31399136532342e-07	No	No
Q9H8H0	NOL11	1.99421345632442	0.0002056157227186	No	No
Q9H8H2	DDX31	2.96374931297381	0.001273095180482	No	No
Q9H8Y5	ANKZF1	1.80862098930004	0.0011481615548714	No	No
Q9H992	MARCHF7	2.13177694694064	0.000487190839683	No	No
Q9H9A5	CNOT10	5.59750661322202	3.72725099014081e-08	No	No
Q9H9A7	RMI1	2.79552826043546	8.82948287278711e-05	No	No
Q9H9G7	AGO3	1.80775102936457	0.0017210707883214	No	No
Q9H9J2	MRPL44	4.64569137632676	1.21822289136523e-15	No	No
Q9H9Y2	RPF1	2.6740803229667	0.0002069285676624	No	No
Q9H9Y6	POLR1B	3.14307455234466	3.5079367250452e-05	No	No
Q9HA38	ZMAT3	4.77969372290069	1.7955491853066002e-16	No	No
Q9HA77	CARS2	2.15533044567647	0.0026290640900695	No	No
Q9HAF1	MEAF6	1.97297349373218	0.0009254122251266	No	No
Q9HAN9	NMNAT1	4.45254422223221	3.24324733882619e-08	No	No
Q9HAU4	SMURF2	1.75698786944227	0.0001606119619234	No	No
Q9HB66	LOC128706665	2.08292612564315	2.10146407183625e-05	No	No
Q9HBE1	PATZ1	1.79058456520993	0.0010649696073212	No	No
Q9HBI5	CEP15	2.06386170886004	0.0019706493687627	No	No
Q9HBM6	TAF9B	2.92353353592583	8.01645754096789e-10	No	No
Q9HBZ2	ARNT2	5.5804992728251	3.75347890958284e-16	No	No
Q9HC35	EML4	5.76714068162635	1.73077505807202e-18	No	No
Q9HC52	CBX8	4.90779987190477	1.27979628710493e-13	No	No
Q9HCE1	MOV10	1.82220826733321	1.56186754849041e-06	No	No
Q9HCG8	CWC22	3.01597982483214	0.0001021583969429	No	No
Q9HCK8	CHD8	2.13549576391987	3.20868716013789e-05	No	No
Q9HCM4	EPB41L5	2.33257038676576	0.0008533862712202	No	No
Q9HCY8	S100A14	2.10846222265765	0.0018784397901748	No	No
Q9HD33	MRPL47	3.65560134560225	1.40176758862168e-12	No	No
Q9NP92	MRPS30	3.25553272116091	1.21039716653596e-05	No	No
Q9NPE2	NGRN	2.58154964893661	0.0001140045874698	No	No
Q9NPE3	NOP10	2.09900664353115	3.67570072768044e-06	No	No
Q9NPF5	DMAP1	1.98723056666873	3.1389473511702e-06	No	No
Q9NPI1	BRD7	1.98250567140739	0.000155111142176	No	No
Q9NQ11	ATP13A2	6.07606412929009	5.6986042652599304e-15	No	No
Q9NQ50	MRPL40	4.20513492984609	7.67994189985973e-08	No	No
Q9NQ55	PPAN	2.26017659239222	0.0005085418738628	No	No
Q9NQS7	INCENP	3.53661525946834	0.0002804002086593	No	No
Q9NQT4	EXOSC5	1.72120771596504	8.1028153538185e-05	No	No
Q9NQZ2	UTP3	2.68184270402276	0.0001934285385512	No	No
Q9NR48	ASH1L	3.97316510445302	5.66849222779301e-09	No	No
Q9NRH3	TUBG2	3.07512120649536	9.7225433636231e-05	No	No
Q9NRR4	DROSHA	2.05174661769413	0.0002125542772423	No	No
Q9NRX1	PNO1	1.69059653097662	2.37701735449298e-05	No	No
Q9NRX2	MRPL17	1.96470168421439	9.84474908091745e-10	No	No
Q9NRY6	PLSCR3	2.71390710891166	2.34898301820399e-12	No	No
Q9NSI2	SLX9	3.05474146159016	6.88329496790526e-07	No	No
Q9NSK0	KLC4	3.5103332283239	4.40479104424675e-10	No	No
Q9NUD5	ZCCHC3	4.15353009215661	7.09737617968715e-08	No	No
Q9NUL5	SHFL	3.18841874181853	1.52433480933523e-08	No	No
Q9NUL7	DDX28	2.1531361977062	2.06458185597253e-06	No	No
Q9NUQ6	SPATS2L	1.84191161065022	1.65256590330565e-07	No	No
Q9NUX5	POT1	3.26700261403835	9.84163399056205e-10	No	No
Q9NV06	DCAF13	1.93747991699907	0.0002202876124631	No	No
Q9NV31	IMP3	2.8309622875376	4.30684005633154e-06	No	No
Q9NVE5	USP40	2.84492162054625	0.0004426802600661	No	No
Q9NVP1	DDX18	2.36477619523186	0.0009876770129718	No	No
Q9NVP2	ASF1B	2.17382087287088	4.182488882271e-09	No	No
Q9NVS2	MRPS18A	4.85565513544691	1.3765640757952201e-09	No	No
Q9NVU0	POLR3E	2.35917303672425	0.0074468744910332	No	No
Q9NW08	POLR3B	2.30596652269903	8.55329756335554e-06	No	No
Q9NW13	RBM28	1.87177410547278	0.0008036458765748	No	No
Q9NW75	GPATCH2	1.99652403276545	0.0031913045454759	No	No
Q9NWB7	IFT57	2.50858028804127	0.0002088613491302	No	No
Q9NWK9	ZNHIT6	3.37248209904329	0.0007711294466184	No	No
Q9NWQ4	GPATCH2L	3.62864377308454	2.3220489065687097e-11	No	No
Q9NWT1	PAK1IP1	2.35107496361398	5.09743355112227e-06	No	No
Q9NWT8	AURKAIP1	2.41761156507695	1.22845534782282e-07	No	No
Q9NWU5	MRPL22	3.63690954657928	2.88359704774313e-13	No	No
Q9NX05	FAM120C	1.80264714672165	1.05276293349502e-05	No	No
Q9NX24	NHP2	1.71911906594733	0.0001035552376712	No	No
Q9NX58	LYAR	2.49051117039925	0.0004101119417554	No	No
Q9NX63	CHCHD3	1.70510843861662	0.0001321983877834	No	No
Q9NXE8	CWC25	2.33989207728094	2.84497432209712e-05	No	No
Q9NY12	GAR1	2.76571686128571	2.72486880839417e-05	No	No
Q9NY61	AATF	2.12307335101944	2.1640499137447e-05	No	No
Q9NY93	DDX56	1.72807466589141	0.000206296252181	No	No
Q9NYB0	TERF2IP	2.63307660599284	0.0002802219943465	No	No
Q9NYK5	MRPL39	3.239733237338	4.59733317862656e-14	No	No
Q9NZE8	MRPL35	5.75724734133828	1.20129422202853e-18	No	No
Q9NZI8	IGF2BP1	1.70479556466116	1.27339601282473e-07	No	No
Q9NZM1	MYOF	3.8836585387452	2.19439199333008e-16	No	No
Q9NZM5	NOP53	2.45872781605604	2.63633994982401e-07	No	No
Q9P015	MRPL15	3.89144539048293	4.85277782356e-11	No	No
Q9P021	CRIPT	2.27145348489054	0.0015439803640145	No	No
Q9P031	CCDC59	2.05164283479357	4.46773522910379e-06	No	No
Q9P0L2	MARK1	3.14104898377287	0.0013438197764326	No	No
Q9P0M9	MRPL27	3.80207231797578	1.52542170510127e-13	No	No
Q9P206	NHSL3	2.49722700730822	0.0004945219111798	No	No
Q9P270	SLAIN2	2.03942150945719	1.53696107611042e-09	No	No
Q9P275	USP36	3.06586366179608	0.0002530162627157	No	No
Q9P2D0	IBTK	3.58474583322939	0.0011011330464246	No	No
Q9P2E3	ZNFX1	2.23454813277391	0.0001816809312374	No	No
Q9P2K1	CC2D2A	3.30421638236529	0.0007816981402128	No	No
Q9P2N5	RBM27	3.04933539479415	0.0002045962065626	No	No
Q9P2W9	STX18	2.70777399992058	0.0023550576352156	No	No
Q9UDW3	ZMAT5	7.17191648121426	3.9867609842248103e-19	No	No
Q9UFF9	CNOT8	2.22177995136408	1.84332118534713e-07	No	No
Q9UGJ1	TUBGCP4	3.62088539484128	1.36294299724625e-11	No	No
Q9UGN5	PARP2	3.03803273232419	6.78257980436865e-06	No	No
Q9UH17	APOBEC3B	2.18168602704455	2.48675295632273e-05	No	No
Q9UHA3	RSL24D1	2.62525942816555	0.0002501342165509	No	No
Q9UHK0	NUFIP1	3.70200205985338	0.0001107378085539	No	No
Q9UHN6	CEMIP2	3.51334074993043	5.9917379623805e-07	No	No
Q9UI10	EIF2B4	2.01334786030453	1.21264564453864e-05	No	No
Q9UIF9	BAZ2A	1.80521390712591	3.36076911870532e-05	No	No
Q9UKB1	FBXW11	1.79517681737902	0.0075917139870165	No	No
Q9UKD2	MRTO4	2.1398831613394	0.0062593664186437	No	No
Q9UKN8	GTF3C4	2.37289752397625	1.00825458347994e-05	No	No
Q9UKV5	AMFR	2.23153420218025	2.75738655367353e-07	No	No
Q9UKZ1	CNOT11	2.20704955844528	1.23041258125011e-06	No	No
Q9UL18	AGO1	2.50400741804151	3.96867948531279e-06	No	No
Q9UL54	TAOK2	2.22852726475247	0.0055921762294781	No	No
Q9ULL5	PRR12	4.90010550618189	1.60142120219754e-10	No	No
Q9ULM3	YEATS2	3.59565601926695	1.8115799546727e-13	No	No
Q9ULW0	TPX2	3.02504082708311	1.0829395292982402e-09	No	No
Q9ULW3	ABT1	2.17666323400793	3.5931559250131e-05	No	No
Q9UMS4	PRPF19	2.85771958671944	1.74941824626976e-13	No	No
Q9UMY1	NOL7	2.60305808322034	8.04117499394027e-06	No	No
Q9UN81	L1RE1	3.0090969980944	5.07436176142335e-13	No	No
Q9UN86	G3BP2	4.12484156966507	1.1773435103554e-15	No	No
Q9UNQ2	DIMT1	2.1848250234566	6.09584324449869e-06	No	No
Q9UNX4	WDR3	2.000821829655	0.0008419708554358	No	No
Q9UPP1	PHF8	3.07346273023184	1.84688833799662e-05	No	No
Q9UPU9	SAMD4A	2.46344359245746	0.0001159223313904	No	No
Q9UPV9	TRAK1	3.57026617606626	2.7056192416293e-06	No	No
Q9UPY8	MAPRE3	6.00593638561102	0.0003791534645886	No	No
Q9UQB8	BAIAP2	2.9288479275809	0.0002857900680704	No	No
Q9UQR0	SCML2	2.75434357641146	0.0002148973492967	No	No
Q9Y221	NIP7	2.92862254790437	0.0022608759470474	No	No
Q9Y224	RTRAF	1.99274157881177	1.6450203752038701e-09	No	No
Q9Y294	ASF1A	3.34847809495303	5.32950444136887e-07	No	No
Q9Y2F5	ICE1	3.77136323832126	4.5476982988537e-08	No	No
Q9Y2H5	PLEKHA6	1.79724099993724	0.0007390694077307	No	No
